,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Windspeed
358,20,US,93,42.73,-73.69,66.04,4.61
359,92,NZ,100,-42.72,170.96,52.37,14.79
360,80,ZA,95,-28.55,16.43,57.86,5.39
361,90,CA,100,48.51,-72.22,44.6,5.82
362,92,RU,100,67.68,53.15,38.33,19.26
363,20,ID,63,3.82,117.25,89.63,2.82
364,20,AU,62,-31.97,141.45,65.33,15.68
365,92,NZ,100,-45.41,167.72,37.25,3.94
366,0,CA,69,54.11,-112.47,12.5,5.73
367,75,JP,77,39.28,141.86,62.6,1.12
368,8,IN,74,28.58,77.04,80.6,6.93
369,0,CN,46,40.18,122.12,53.18,10.09
370,0,CL,87,-29.95,-71.34,53.6,4.7
371,24,IN,74,30.78,78.62,55.43,1.59
372,75,NO,93,58.61,5.65,53.6,6.93
373,90,CA,85,52.13,-122.14,35.6,5.82
374,0,SA,33,18.22,42.5,59.0,2.71
375,0,NZ,72,-39.64,176.84,63.8,3.38
376,92,AO,89,-6.13,12.37,74.87,4.16
377,64,TZ,76,-8.57,32.05,58.4,3.6
378,76,RU,90,63.79,74.5,32.84,7.96
379,90,US,82,34.41,-119.86,62.78,3.36
380,20,CA,85,53.28,-110.01,19.4,2.24
381,12,BR,98,-6.64,-51.99,74.06,2.15
382,0,CN,58,49.2,119.7,40.22,5.39
383,20,MZ,67,-13.3,35.25,60.8,12.75
384,20,PG,70,-6.29,145.87,76.94,1.03
385,24,PH,96,12.18,125.51,83.33,2.71
386,90,RU,87,64.42,-173.23,44.6,17.9
387,48,RU,95,66.56,67.8,26.09,14.23
388,20,IN,70,8.13,77.3,86.0,6.93
389,75,US,100,36.22,-81.67,67.95,12.75
390,90,US,82,43.97,-111.68,40.68,3.36
391,0,RU,77,51.16,55.0,33.92,5.95
392,90,CA,93,49.72,-86.95,35.6,8.05
393,90,CA,100,50.03,-66.88,37.4,3.36
394,1,US,78,40.63,-80.06,70.83,4.7
395,75,JP,83,33.72,135.99,73.4,6.93
396,0,BR,83,-5.13,-49.33,78.8,3.36
397,0,PT,76,40.06,-8.63,51.8,1.12
398,12,RU,100,66.83,70.83,32.21,12.66
399,36,ID,90,1.74,98.78,76.85,0.92
400,0,GL,100,60.14,-45.24,33.92,13.56
401,0,NG,75,11.75,11.96,67.4,2.71
402,56,GE,99,41.62,42.88,38.51,2.04
403,48,US,94,35.21,-90.2,75.07,14.34
404,64,RU,95,65.4,64.7,28.52,14.67
405,0,AU,23,-15.77,128.74,98.6,6.93
406,0,AU,100,-41.05,145.91,51.47,4.94
407,90,CL,77,-23.65,-70.4,60.8,2.24
408,0,MX,39,24.0,-103.02,55.43,6.73
409,0,TM,52,42.05,59.39,40.06,6.93
410,1,US,18,64.84,-147.72,35.29,8.41
411,88,CD,94,-5.83,13.46,73.07,3.94
412,0,FR,82,45.6,-0.6,60.98,6.93
413,20,BB,78,13.22,-59.52,80.6,14.99
414,8,KZ,71,48.59,57.19,31.31,2.93
415,12,ID,100,-3.31,129.0,81.08,9.42
416,8,KZ,66,53.07,76.1,42.38,10.87
417,75,ES,82,41.38,2.18,64.4,12.75
418,0,PK,9,26.0,63.05,77.3,15.23
419,5,CA,92,55.1,-105.3,19.4,2.24
